label,text
1,🚨 R_E_W_A_R_D ! 🚨 Your account is restricted. C0ngratulati0ns here to fix it.
1,🚨 C1ick ! 🚨 Your account is restricted. C0ngratulati0ns here to fix it.
0,OMG I won the $985 prize!!!
1,🚨 V 1 s 1 t ! 🚨 Your account is restricted. C0ngratulati0ns here to fix it.
0,Can you transfer $219 for textbooks?
0,Don't forget to claim your tournament reimbursement.
0,OMG I won the $989 prize!!!
1,🚨 B_A_N_K ! 🚨 Your account is restricted. B_A_N_K here to fix it.
1,🚨 A_L_E_R_T ! 🚨 Your account is restricted. R_E_W_A_R_D here to fix it.
0,"Bhai 693 rupaye de de, kal pakka."
0,Can you transfer $335 for rent?
0,"Bhai 164 rupaye de de, kal pakka."
0,OMG I won the $776 prize!!!
1,"We tried to deliver a package to John, please contact us."
0,"Bhai 290 rupaye de de, kal pakka."
0,"Bhai 460 rupaye de de, kal pakka."
0,Can you transfer $275 for dinner?
1,🚨 A_L_E_R_T ! 🚨 Your account is restricted. A_L_E_R_T here to fix it.
1,You have won ₹5000. Claim reward before midnight.
1,बधाई हो! आपने ₹5000 जीते हैं। पुरस्कार प्राप्त करने के लिए लिंक पर क्लिक करें।
1,"We tried to deliver a package to Dave, please contact us."
1,🚨 P.a.y.P.a.l ! 🚨 Your account is restricted. B_A_N_K here to fix it.
1,URGENT: KYC update required. Click link to avoid suspension.
0,Don't forget to claim your dinner reimbursement.
1,Can you do me a quick favor buddy?
1,Bank alert: unusual activity detected. Confirm details immediately.
1,🚨 W_I_N_N_E_R ! 🚨 Your account is restricted. A_L_E_R_T here to fix it.
0,OMG I won the $222 prize!!!
1,🚨 W I N N E R ! 🚨 Your account is restricted. W_I_N_N_E_R here to fix it.
0,"Bhai 994 rupaye de de, kal pakka."
1,Can you do me a quick favor Dave?
1,Your parcel is waiting. Confirm address and pay delivery fee.
1,🚨 U r g e n t ! 🚨 Your account is restricted. B_A_N_K here to fix it.
0,OMG I won the $63 prize!!!
0,Please use this link for meeting.
1,"Hey it's John, my phone broke, text me at this new number."
0,Can you transfer $402 for rent?
0,OMG I won the $804 prize!!!
0,Can you transfer $92 for textbooks?
0,OMG I won the $818 prize!!!
0,Can you transfer $391 for tickets?
0,OMG I won the $282 prize!!!
1,Is this Anna? I think we met last week.
0,OMG I won the $388 prize!!!
0,Can you transfer $375 for rent?
1,🚨 F R E E ! 🚨 Your account is restricted. U r g e n t here to fix it.
1,Fr33 cashback available. V1sit portal now.
0,"Bhai 406 rupaye de de, kal pakka."
1,बधाई हो! आपने ₹10000 जीते हैं। पुरस्कार प्राप्त करने के लिए लिंक पर क्लिक करें।
1,🚨 A.m.a.z.o.n ! 🚨 Your account is restricted. C0ngratulati0ns here to fix it.
1,🚨 A_L_E_R_T ! 🚨 Your account is restricted. W I N N E R here to fix it.
1,🚨 C0ngratulati0ns ! 🚨 Your account is restricted. B_A_N_K here to fix it.
0,"Bhai 266 rupaye de de, kal pakka."
0,OMG I won the $92 prize!!!
1,🚨 W_I_N_N_E_R ! 🚨 Your account is restricted. W_I_N_N_E_R here to fix it.
1,🚨 C0ngratulati0ns ! 🚨 Your account is restricted. W_I_N_N_E_R here to fix it.
1,🚨 R_E_W_A_R_D ! 🚨 Your account is restricted. R_E_W_A_R_D here to fix it.
0,"Bhai 649 rupaye de de, kal pakka."
1,बधाई हो! आपने ₹2000 जीते हैं। पुरस्कार प्राप्त करने के लिए लिंक पर क्लिक करें।
1,🚨 W_I_N_N_E_R ! 🚨 Your account is restricted. P.a.y.P.a.l here to fix it.
1,🚨 B_A_N_K ! 🚨 Your account is restricted. A.m.a.z.o.n here to fix it.
0,Can you transfer $369 for tickets?
1,🚨 B_A_N_K ! 🚨 Your account is restricted. C0ngratulati0ns here to fix it.
1,🚨 B_A_N_K ! 🚨 Your account is restricted. U r g e n t here to fix it.
0,Can you transfer $116 for textbooks?
1,"Hi friend, are we still meeting tomorrow?"
0,Can you transfer $362 for rent?
0,Can you transfer $192 for rent?
0,Don't forget to claim your tickets reimbursement.
1,"We tried to deliver a package to Mike, please contact us."
0,Can you transfer $42 for textbooks?
0,Can you transfer $368 for textbooks?
1,🚨 C_L_A_I_M ! 🚨 Your account is restricted. F R E E here to fix it.
0,OMG I won the $120 prize!!!
1,🚨 W_I_N_N_E_R ! 🚨 Your account is restricted. R_E_W_A_R_D here to fix it.
0,"Bhai 832 rupaye de de, kal pakka."
1,बधाई हो! आपने ₹500 जीते हैं। पुरस्कार प्राप्त करने के लिए लिंक पर क्लिक करें।
1,You have won ₹10000. Claim reward before midnight.
1,🚨 U r g e n t ! 🚨 Your account is restricted. W_I_N_N_E_R here to fix it.
1,"buddy I left my jacket at your place, right?"
1,"Dave I left my jacket at your place, right?"
1,🚨 C0ngratulati0ns ! 🚨 Your account is restricted. C_L_A_I_M here to fix it.
0,OMG I won the $642 prize!!!
0,OMG I won the $264 prize!!!
0,"Bhai 394 rupaye de de, kal pakka."
1,"friend I left my jacket at your place, right?"
1,🚨 P.a.y.P.a.l ! 🚨 Your account is restricted. C0ngratulati0ns here to fix it.
0,OMG I won the $556 prize!!!
1,"We tried to deliver a package to buddy, please contact us."
0,OMG I won the $974 prize!!!
1,"Hey it's Sarah, my phone broke, text me at this new number."
0,"Bhai 670 rupaye de de, kal pakka."
0,"Bhai 577 rupaye de de, kal pakka."
0,Free tournament in the breakroom!
0,URGENT: check the oven
1,"Hi Sarah, are we still meeting tomorrow?"
1,Is this John? I think we met last week.
0,OMG I won the $811 prize!!!
0,OMG I won the $313 prize!!!
1,🚨 P.a.y.P.a.l ! 🚨 Your account is restricted. C_L_A_I_M here to fix it.
0,Don't forget to claim your Zoom reimbursement.
0,Free tickets in the breakroom!
0,"Bhai 480 rupaye de de, kal pakka."
1,You have won ₹500. Claim reward before midnight.
1,🚨 WARNING 🚨 Your account is locked. Verify immediately.
0,OMG I won the $502 prize!!!
0,Can you transfer $392 for dinner?
0,"Bhai 516 rupaye de de, kal pakka."
0,Free pizza in the breakroom!
1,Can you do me a quick favor friend?
1,"Sarah I left my jacket at your place, right?"
1,🚨 A_L_E_R_T ! 🚨 Your account is restricted. A.m.a.z.o.n here to fix it.
1,Aap ₹10000 jeet gaye hain. Reward claim karne ke liye link par click karein.
0,"Bhai 225 rupaye de de, kal pakka."
1,🚨 A.m.a.z.o.n ! 🚨 Your account is restricted. A_L_E_R_T here to fix it.
0,OMG I won the $102 prize!!!
1,🚨 V 1 s 1 t ! 🚨 Your account is restricted. F R E E here to fix it.
1,Can you do me a quick favor Anna?
0,"Bhai 919 rupaye de de, kal pakka."
