v1,v2,,,
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",,,
ham,Ok lar... Joking wif u oni...,,,
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,,,
ham,U dun say so early hor... U c already then say...,,,
ham,"Nah I don't think he goes to usf, he lives around here though",,,
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, �1.50 to rcv",,,
ham,Even my brother is not like to speak with me. They treat me like aids patent.,,,
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,
spam,WINNER!! As a valued network customer you have been selected to receivea �900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,,,
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,,,
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",,,
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",,,
spam,"URGENT! You have won a 1 week FREE membership in our �100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",,,
spam,CONGRATULATIONS! FREE 2GB data is yours! Claim on Airtel Thanks App Now. Hurry i.airtel.in/e/csl_ml_2GB,,,
spam,"Hi! Thank you for being with Vi-India's FASTEST 4G, Ookla-verified. We'd love to improve ourselves! Click http://bit.ly/3uU8D31 to share your feedback.",,,
spam,"As part of Cyber Swachhta Pakhwada, CERT-In GoI advises you to keep your digital devices bot free. Get bot removal tool at https://www.csk.gov.in",,,
ham,I will try to manage took tablets,,,
spam,Study from Home with Vi!! Watch Kite Victers Channel FREE on your Mobile with Vi . Download Vi Movies and TV app now . Click bit.ly/Vi-kite2,,,
ham,Get it fixed asap,,,
ham,?image omitted,,,
ham,Not sure if I can join by tomorrow morning,,,
spam,"Hi, [1] new Home Loan offer for you | Rates start as low as 6.75% | EMIs from Rs. 649/lakh. Apply now. TnC apply bnkbzr.co/o68urxqDiB",,,
spam,"The summer heat is here ! Get your AC, Air Cooler or Fridge now and pay later at no cost using Federal Bank Debit Card EMI ! Click https://fdrl.in/t/dPmgHO for the latest offers -Federal Bank",,,
spam,Don't let security concerns ruin your travel plans! Get Airtel Xsafe- Wi-Fi enabled surveillance solution that sends real time alerts. Order now and get FREE installation i.airtel.in/PreEye,,,
spam,"Rs299 recharged! Enjoy Unlimited Calls+4GB/Day+100SMS/Day. Valid for 28 Days.Your 1 yr ZEE5 Premium subscription credited! To activate, click bit.ly/ViZee5Offer",,,
ham,Hi,,,
spam,You're just 1 step away from FREE router! Get Airtel Xstream Fiber & enjoy up to 1 Gbps speeds on all your devices! Plans starting at just Rs 499! i.airtel.in/Exclusiveoffer,,,
ham,Start discussing on topics,,,
ham,"Happy 2021 to one and all. May all the obstructions and constraints be removed, may you have clarity and peace of mind and a healthy body in the new year",,,
ham,I am working infront of ac now,,,
ham,Fortunately buying PAYTM this week has turned out to be profitable,,,
spam,This diwali let's do big savings. Get 75% off on salary withdrawals upto ?3000. Offer valid 25th Oct-13th Nov. Sign up now weurl.co/wiroNb Team Refyne,,,
ham,Msg sent by mistake,,,
ham,"Learning makes people grow continuously, and only with enough knowledge can you gain a firm foothold in this market. No matter which field you are in, you need to keep learning. Knowledge is the capital for you to accumulate wealth.",,,
ham,Yes the trend is consistently upward After all we're making a profit,,,
ham,Is the assistantÃ¢ÂÂs sharing tonight or tomorrow night,,,
ham,I bought 200 shares,,,
ham,Good evening everyoneÃ°ÂÂÂÃ°ÂÂÂ¼,,,
spam,THE BIG BULL starring Abhishek Bachchan dekhiye Disney+ Hotstar VIP par. Vi ke naye 401 recharge pe paiye 1yr Disney+ Hotstar VIP & 100GB data (3GB/day +16GB) + Unlimited Calls; 28days. Click bit.ly/ViHotstar1,,,
spam,"Biggest Diwali Offers@ VISHAL Mixer Grinder 3Jar(Mrp 2499) 45%OFF- Rs 1374 ONLY TODAY + FREE-VIP Trolley,Duffle Bag + 7.5% SBI Cashback TnC",,,
spam,"Don't miss out on FREE rewards on Airtel Thanks App. To claim your rewards, visit i.airtel.in/Thanks_rewards",,,
ham,"The index adjustment usually follows a gradual inclusion process, and the inflow of funds is also carried out in stages",,,
ham,Hi Team,,,
ham,Hi team,,,
ham,"Haha, anyway, the professor will compensate, so I'm not afraid. If we can make a profit, that's the best outcome. At least we won't make the professor spend moneyÃ¢ÂÂwe'll earn from the market",,,
ham,I love it when Mr Arvind Singh Shares his skills and learns more about making money,,,
ham,Please open a ticket with it support ; what else we can do ?,,,
ham,location,,,
spam,"Dear Customer, Exclusive Offer! Get 5% Unlimited Cashback with Flipkart Axis Bank Credit Card. Apply now for a Rs.1000* Gift Card> http://fkrt.it/Y4frc9NNNN",,,
spam,Come back to Lenskart & Avail SPECIAL Holi Offers +50% Cashback - Buy1Get1 with Gold Membership - 2Adult+2Kids at Rs.4000 - Lens upgrade starting Rs.1250 TnC,,,
spam,Friday of the year you're eagerly waiting for is finally here! PANTALOONS BLACK FRIDAY SALE is back from 24-27 NOV! Get your whishlist shopped with FLAT 25% OFF on our exclusive merchandise. Visit ur nearby Pantaloons store or Shop online tltx.in/oykJG TC. offer on select range,,,
spam,Dunzo Daily is now live in your neighbourhood! Get all groceries delivered fresh & fast in 35 mins & enjoy the Just Launched Sale! Click: http://bit.ly/DunzoApp,,,
ham,Join from,,,
ham,Disconnecting again and again,,,
ham,Just waiting for the assistant's notification,,,
ham,Happy New year all,,,
spam,Set your favorite song or your Name as Callertune. Click bit.ly/APP-CT,,,
spam,"Exclusive offer for Airtel prepaid customers like you! Gift an Airtel Prepaid SIM to your friends and family, and enjoy SIM delivery at no extra cost. To order, click i.airtel.in/nhb5",,,
spam,"Apply for Pre-qualified credit card limit up to INR 150,000 & get Noise ColorFit Pulse 2 Max Smart Watch worth Rs. 5,999. Click http://1kx.in/AMebzI SmartCardon",,,
ham,?image omitted,,,
ham,"अगले बिंदु तक जाओ, पागल .. केवल बगिस एन ग्रेट वर्ल्ड ला ई बुफे में उपलब्ध है ... सिने वहाँ अमोर वाट मिला ...",,,
ham,ठीक है लार ... मजाक wif u oni ...,,,
spam,नि: शुल्क प्रविष्टि 2 में एक wkly COMP को जीतने के लिए FA CUP FILL TKTS 21 मई 2005। प्रवेश प्रश्न (STD TXT रेट) T & C की आवेदन प्राप्त करने के लिए 87121 तक पाठ FA 08452810075OVER18,,,
ham,यू डन इतनी जल्दी कहो ... यू सी पहले से ही कहो ...,,,
ham,"नहीं, मुझे नहीं लगता कि वह यूएसएफ में जाता है, वह हालांकि इधर -उधर रहता है",,,
spam,"Freemsg अरे वहाँ डार्लिंग यह 3 सप्ताह का अब हो गया है और कोई शब्द वापस नहीं है! मैं आपको इसके लिए अभी भी कुछ मज़ा करना चाहता हूं? टीबी ठीक है! XXX STD CHGS भेजने के लिए, �1.50 को RCV को",,,
ham,यहां तक ​​कि मेरा भाई मेरे साथ बात करना पसंद नहीं करता है। वे मुझे एड्स पेटेंट की तरह मानते हैं।,,,
ham,आपके अनुरोध के अनुसार 'मेलले मेल्ले (ओरु मिननामिनुंगिन्टे नूरुंगु वेट्टम)' को सभी कॉलर्स के लिए आपके कॉलर्ट्यून के रूप में सेट किया गया है। अपने दोस्तों Callertune को कॉपी करने के लिए *9 दबाएँ,,,
spam,विजेता !! एक मूल्यवान नेटवर्क ग्राहक के रूप में आपको प्राप्ति �900 पुरस्कार इनाम के लिए चुना गया है! 09061701461 पर कॉल करने के लिए। दावा कोड KL341। केवल 12 घंटे मान्य।,,,
spam,क्या आपका मोबाइल 11 महीने या उससे अधिक था? यू आर मुफ्त में कैमरे के साथ नवीनतम रंग मोबाइलों को अपडेट करने का हकदार है! 08002986030 पर मोबाइल अपडेट सह मुफ्त कॉल करें,,,
ham,"मैं जल्द ही घर जा रहा हूँ और मैं आज रात इस सामान के बारे में बात नहीं करना चाहता, के? मैं आज काफी रोया हूं।",,,
spam,"नकद जीतने के छह मौके! 100 से 20,000 पाउंड txt> csh11 और 87575 पर भेजें। लागत 150p/दिन, 6 दिन, 16+ tsandcs लागू करें उत्तर HL 4 जानकारी लागू करें",,,
spam,"अति आवश्यक! आपने हमारे �100,000 पुरस्कार जैकपॉट में 1 सप्ताह की मुफ्त सदस्यता जीती है! Txt शब्द: दावा नहीं: 81010 T & C www.dbuk.net lccltd pobox 4403ldnw1a7rw18",,,
ham,मैं इस सांस के लिए धन्यवाद देने के लिए सही शब्दों की खोज कर रहा हूं। मैं वादा करता हूं कि मैं आपकी मदद के लिए आपकी मदद नहीं लेगा और मेरे वादे को पूरा करूंगा। आप हर समय अद्भुत और आशीर्वाद रहे हैं।,,,
ham,मैं रविवार को विल के साथ एक तारीख है !!,,,
spam,"XXXMOBILEMOVIECLUB: अपने क्रेडिट का उपयोग करने के लिए, अगले TXT संदेश में WAP लिंक पर क्लिक करें या यहां क्लिक करें >> http: // wap। XXXMOBILEMOVIECLUB.COM?N=QJKGIGHJJGCBL",,,
ham,ओह के ... मैं यहाँ देख रहा हूँ :),,,
